"PROVINCE_ID","PROVINCE","REGION","REGION_ID"
"1","Abra","CAR","14"
"2","Apayao","CAR","14"
"3","Benguet","CAR","14"
"4","Ifugao","CAR","14"
"5","Kalinga","CAR","14"
"6","Mountain Province","CAR","14"
"7","Ilocos Norte","Region I","1"
"8","Ilocos Sur","Region I","1"
"9","La Union","Region I","1"
"10","Pangasinan","Region I","1"
"11","Batanes","Region II","2"
"12","Cagayan","Region II","2"
"13","Isabela","Region II","2"
"14","Nueva Vizcaya","Region II","2"
"15","Quirino","Region II","2"
"16","Aurora","Region III","3"
"17","Bataan","Region III","3"
"18","Bulacan","Region III","3"
"19","Nueva Ecija","Region III","3"
"20","Pampanga","Region III","3"
"21","Tarlac","Region III","3"
"22","Zambales","Region III","3"
"23","Batangas","Region IV-A","4"
"24","Cavite","Region IV-A","4"
"25","Laguna","Region IV-A","4"
"26","Quezon","Region IV-A","4"
"27","Rizal","Region IV-A","4"
"28","Marinduque","MIMAROPA","17"
"29","Occidental Mindoro","MIMAROPA","17"
"30","Oriental Mindoro","MIMAROPA","17"
"31","Palawan","MIMAROPA","17"
"32","Romblon","MIMAROPA","17"
"33","Albay","Region V","5"
"34","Camarines Norte","Region V","5"
"35","Camarines Sur","Region V","5"
"36","Catanduanes","Region V","5"
"37","Masbate","Region V","5"
"38","Sorsogon","Region V","5"
"39","Aklan","Region VI","6"
"40","Antique","Region VI","6"
"41","Capiz","Region VI","6"
"42","Guimaras","Region VI","6"
"43","Iloilo","Region VI","6"
"44","Negros Occidental","Region VI","6"
"45","Bohol","Region VII","7"
"46","Cebu","Region VII","7"
"47","Negros Oriental","Region VII","7"
"48","Siquijor","Region VII","7"
"49","Biliran","Region VIII","8"
"50","Eastern Samar","Region VIII","8"
"51","Leyte","Region VIII","8"
"52","Northern Samar","Region VIII","8"
"54","Samar","Region VIII","8"
"53","Southern Leyte","Region VIII","8"
"58","Zamboanga City","Region IX","9"
"55","Zamboanga del Norte","Region IX","9"
"56","Zamboanga del Sur","Region IX","9"
"57","Zamboanga Sibugay","Region IX","9"
"59","Bukidnon","Region X","10"
"60","Camiguin","Region X","10"
"61","Lanao del Norte","Region X","10"
"62","Misamis Occidental","Region X","10"
"63","Misamis Oriental","Region X","10"
"67","Compostela Valley","Region XI","11"
"68","Davao City","Region XI","11"
"64","Davao del Norte","Region XI","11"
"65","Davao del Sur","Region XI","11"
"84","Davao Occidental","Region XI","11"
"66","Davao Oriental","Region XI","11"
"69","North Cotabato","Region XII","12"
"70","Sarangani","Region XII","12"
"71","South Cotabato","Region XII","12"
"72","Sultan Kudarat","Region XII","12"
"73","Agusan del Norte","Region XIII","16"
"74","Agusan del Sur","Region XIII","16"
"75","Dinagat Islands","Region XIII","16"
"76","Surigao del Norte","Region XIII","16"
"77","Surigao del Sur","Region XIII","16"
"78","Basilan","BARMM","15"
"79","Lanao del Sur","BARMM","15"
"80","Maguindanao","BARMM","15"
"81","Sulu","BARMM","15"
"82","Tawi-tawi","BARMM","15"
"1000","PhilRice","PhilRice","19"
